transcript_id	seqnames	start	end	gene_name	gene_id	n
chr17_46557631_46559153	chr17	46516702	46579682	ARL17A	ENSG00000185829.17	16017
chr17_46591248_46624243	chr17	46590669	46757464	NSF	ENSG00000073969.18	2
chr17_46590788_46624243	chr17	46590669	46757464	NSF	ENSG00000073969.18	939
chr17_46602524_46624243	chr17	46590669	46757464	NSF	ENSG00000073969.18	939
chr17_75218307_75225697	chr17	75205659	75235758	NUP85	ENSG00000125450.10	5
chr17_75235481_75235577	chr17	75205659	75235758	NUP85	ENSG00000125450.10	6
chr17_75205795_75208154	chr17	75205659	75235758	NUP85	ENSG00000125450.10	27
chr17_75226158_75231572	chr17	75205659	75235758	NUP85	ENSG00000125450.10	81
chr17_75516911_75517014	chr17	75516060	75524739	TSEN54	ENSG00000182173.12	5
chr18_46557490_46563064	chr18	46476972	46657033	LOXHD1	ENSG00000167210.16	3
chr18_62059169_62072672	chr18	61905255	62187118	PIGN	ENSG00000197563.10	33
chr18_62059021_62072672	chr18	61905255	62187118	PIGN	ENSG00000197563.10	36
chr18_62162513_62163530	chr18	61905255	62187118	PIGN	ENSG00000197563.10	36
chr18_62056845_62058815	chr18	61905255	62187118	PIGN	ENSG00000197563.10	57
chr18_62072726_62084530	chr18	61905255	62187118	PIGN	ENSG00000197563.10	59
chr18_62102903_62103588	chr18	61905255	62187118	PIGN	ENSG00000197563.10	89
chr18_62161386_62184520	chr18	61905255	62187118	PIGN	ENSG00000197563.10	90
chr18_62163657_62174326	chr18	61905255	62187118	PIGN	ENSG00000197563.10	92
chr18_62103600_62105542	chr18	61905255	62187118	PIGN	ENSG00000197563.10	97
chr18_62162330_62187022	chr18	61905255	62187118	PIGN	ENSG00000197563.10	97
chr18_62103800_62105542	chr18	61905255	62187118	PIGN	ENSG00000197563.10	100
chr18_62157809_62157980	chr18	61905255	62187118	PIGN	ENSG00000197563.10	110
chr18_62174431_62186843	chr18	61905255	62187118	PIGN	ENSG00000197563.10	118
chr18_62154652_62161132	chr18	61905255	62187118	PIGN	ENSG00000197563.10	153
chr18_62161227_62163530	chr18	61905255	62187118	PIGN	ENSG00000197563.10	153
chr18_62056845_62059047	chr18	61905255	62187118	PIGN	ENSG00000197563.10	179
chr18_62085265_62088390	chr18	61905255	62187118	PIGN	ENSG00000197563.10	215
chr18_61905493_62017628	chr18	61905255	62187118	PIGN	ENSG00000197563.10	248
chr18_62284362_62285448	chr18	62187258	62307829	KIAA1468	ENSG00000134444.13	114
chr18_62282443_62287350	chr18	62187258	62307829	KIAA1468	ENSG00000134444.13	638
chr19_49335323_49335494	chr19	49335171	49340594	CD37	ENSG00000104894.11	4
chr20_46043693_46058655	chr20	46022843	46060152	SLC12A5	ENSG00000124140.13	9
chr20_46035043_46035373	chr20	46022843	46060152	SLC12A5	ENSG00000124140.13	28
chr20_63273519_63275576	chr20	63272785	63289793	ARFGAP1	ENSG00000101199.12	37
chr20_63272921_63273999	chr20	63272785	63289793	ARFGAP1	ENSG00000101199.12	72
chr20_63351028_63355956	chr20	63343223	63378401	CHRNA4	ENSG00000101204.16	6
chr20_63355410_63355974	chr20	63343223	63378401	CHRNA4	ENSG00000101204.16	15
chr20_63661944_63662473	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	2
chr20_63658460_63661297	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	51
chr20_63659505_63660675	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	78
chr20_63660797_63661297	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	119
chr20_63665301_63666003	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	183
chr20_63661944_63662395	chr20	63657810	63696253	RTEL1	ENSG00000258366.7	238
chr21_36058925_36060106	chr21	36034541	36079389	SETD4	ENSG00000185917.13	24
chr21_42496230_42496822	chr21	42472486	42496354	RSPH1	ENSG00000160188.9	14
chr21_42496230_42502295	chr21	42472486	42496354	RSPH1	ENSG00000160188.9	66
chr21_42496230_42496822	chr21	42496008	42581440	SLC37A1	ENSG00000160190.13	14
chr21_42502418_42518276	chr21	42496008	42581440	SLC37A1	ENSG00000160190.13	41
chr21_42496230_42502295	chr21	42496008	42581440	SLC37A1	ENSG00000160190.13	66
chr21_42499744_42502295	chr21	42496008	42581440	SLC37A1	ENSG00000160190.13	67
chr21_42502418_42502688	chr21	42496008	42581440	SLC37A1	ENSG00000160190.13	104
chr22_31197159_31201497	chr22	31160193	31207019	RNF185	ENSG00000138942.15	131
chr22_31488746_31495952	chr22	31436977	31496108	EIF4ENIF1	ENSG00000184708.17	73
chr22_31488746_31495952	chr22	31488746	31618490	SFI1	ENSG00000198089.15	73
chr22_49918431_49918758	chr22	49900229	49918458	ALG12	ENSG00000182858.13	14
chr22_49918431_49918758	chr22	49918167	49927540	CRELD2	ENSG00000184164.14	14
chr22_49924456_49924985	chr22	49918167	49927540	CRELD2	ENSG00000184164.14	28
chr22_49921474_49921584	chr22	49918167	49927540	CRELD2	ENSG00000184164.14	396
chr22_50278666_50278666	chr22	50274979	50307627	PLXNB2	ENSG00000196576.14	3
chr22_50278697_50288985	chr22	50274979	50307627	PLXNB2	ENSG00000196576.14	14
