"rsID" "PosID" "Direction" "Spearman_rho" "-log10(p)"
"446" "rs73228798" "7_128777997" "fwd" 0.27 2.8714
"447" "rs73228798" "7_128777997" "fwd" 0.283 3.1099
"448" "rs73228798" "7_128777997" "rev" 0.277 2.9901
"449" "rs73228798" "7_128777997" "rev" 0.295 3.343
"450" "rs73228798" "7_128777997" "fwd" 0.326 4.0268
"451" "rs73228798" "7_128777997" "fwd" -0.272 2.9106
"452" "rs73228798" "7_128777997" "fwd" 0.264 2.7609
"453" "rs73228798" "7_128777997" "rev" 0.279 3.0284
"454" "rs73228798" "7_128777997" "rev" 0.318 3.8332
"455" "rs73228798" "7_128777997" "rev" 0.314 3.743
"456" "rs73232803" "4_17354402" "fwd" -0.245 2.4176
"457" "rs73232803" "4_17354402" "rev" -0.25 2.5035
"458" "rs733576" "3_126851212" "fwd" -0.234 2.2465
"459" "rs74415001" "2_29524441" "fwd" -0.148 1.0805
"460" "rs74415001" "2_29524441" "rev" -0.148 1.0805
"461" "rs74434764" "20_62070491" "fwd" -0.32 3.8804
"462" "rs74434764" "20_62070491" "rev" -0.319 3.8555
"463" "rs74446496" "5_141390467" "fwd" 0.22 2.0151
"464" "rs74536576" "6_1316016" "rev" -0.279 3.0324
"465" "rs74590135" "20_39218393" "fwd" -0.243 2.3834
"466" "rs74616349" "22_32924602" "fwd" 0.276 2.9777
"467" "rs74786644" "10_64378296" "rev" -0.272 2.8973
"468" "rs74863169" "7_158049727" "rev" 0.293 3.3203
"469" "rs74915337" "6_42095276" "fwd" -0.306 3.5905
"470" "rs74961254" "12_48960257" "rev" -0.237 2.2904
"471" "rs75027727" "11_56350504" "fwd" -0.274 2.9494
"472" "rs75030261" "9_133002923" "fwd" 0.241 2.3545
"473" "rs7503454" "17_75667780" "rev" 0.298 3.4163
"474" "rs75139274" "10_95278683" "fwd" -0.233 2.2281
"475" "rs75177286" "9_113568072" "fwd" -0.262 2.7208
"476" "rs75242906" "15_56786407" "fwd" -0.318 3.8359
"477" "rs75337501" "8_20373862" "fwd" 0.245 2.421
"478" "rs75337501" "8_20373862" "rev" 0.245 2.421
"479" "rs75361325" "16_2909681" "rev" 0.277 2.9889
"480" "rs75467736" "5_178703109" "rev" -0.298 3.4093
"481" "rs75524347" "6_138588216" "fwd" -0.147 1.0719
"482" "rs7556609" "1_54310748" "fwd" -0.306 3.5894
"483" "rs75578074" "8_21141353" "fwd" 0.268 2.8331
"484" "rs75619550" "4_107678963" "rev" 0.147 1.0686
"485" "rs75619550" "4_107678963" "rev" 0.147 1.0686
"486" "rs7589104" "2_218517174" "rev" 0.282 3.0991
"487" "rs75910219" "1_212418941" "fwd" -0.288 3.2064
"488" "rs76007960" "19_45593289" "rev" -0.288 3.2128
"489" "rs76007960" "19_45593289" "fwd" -0.313 3.7252
"490" "rs76007960" "19_45593289" "rev" -0.274 2.9499
"491" "rs76007960" "19_45593289" "rev" -0.294 3.3364
"492" "rs76007960" "19_45593289" "rev" -0.343 4.4166
"493" "rs76007960" "19_45593289" "rev" -0.271 2.881
"494" "rs76007960" "19_45593289" "rev" -0.258 2.6415
"495" "rs76169521" "12_104232273" "rev" 0.287 3.1931
"496" "rs76572977" "10_95137666" "rev" -0.332 4.1531
"497" "rs76572977" "10_95137666" "fwd" -0.279 3.0359
"498" "rs76572977" "10_95137666" "rev" -0.301 3.4838
"499" "rs76598479" "19_45653055" "rev" 0.28 3.0481
"500" "rs76621798" "3_132124196" "rev" -0.236 2.2739
"501" "rs76678788" "1_167098572" "fwd" 0.278 3.0113
"502" "rs76678788" "1_167098572" "rev" -0.263 2.7428
"503" "rs76678788" "1_167098572" "rev" 0.261 2.7093
"504" "rs76793479" "1_115675612" "rev" 0.286 3.1765
"505" "rs76793479" "1_115675612" "fwd" 0.297 3.3951
"506" "rs76793479" "1_115675612" "fwd" 0.294 3.3313
"507" "rs76807802" "4_114382824" "fwd" 0.261 2.7005
"508" "rs76807802" "4_114382824" "rev" 0.328 4.0654
"509" "rs76807802" "4_114382824" "rev" -0.318 3.8436
"510" "rs76807802" "4_114382824" "rev" 0.274 2.9482
"511" "rs76846220" "12_133350055" "rev" 0.286 3.1646
"512" "rs76904591" "16_3390881" "fwd" -0.315 3.7727
"513" "rs77265338" "12_104149689" "rev" -0.292 3.3001
"514" "rs77365409" "5_55412627" "rev" -0.306 3.5758
"515" "rs77389348" "5_98993529" "fwd" 0.236 2.2741
"516" "rs77423050" "5_145732507" "rev" -0.299 3.4294
"517" "rs77584325" "4_114131350" "rev" -0.284 3.1335
"518" "rs77649758" "5_148312602" "fwd" 0.247 2.4523
"519" "rs7770011" "6_52583184" "fwd" 0.387 5.5585
"520" "rs77927391" "3_100870610" "rev" -0.239 2.3197
"521" "rs78029158" "10_125696306" "fwd" 0.272 2.8956
"522" "rs78057979" "3_141031925" "fwd" -0.244 2.405
"523" "rs78172575" "3_8802534" "rev" -0.255 2.6028
"524" "rs78214135" "14_30881572" "fwd" 0.273 2.9283
"525" "rs78272513" "9_95733599" "fwd" 0.26 2.6886
"526" "rs78446054" "20_3580391" "rev" -0.249 2.4958
"527" "rs78446054" "20_3580391" "fwd" -0.282 3.095
"528" "rs78508437" "10_120591972" "fwd" -0.31 3.6643
"529" "rs78543772" "7_43369361" "rev" -0.274 2.9349
"530" "rs78653021" "10_120756573" "rev" -0.268 2.831
"531" "rs78740708" "11_11365479" "fwd" 0.308 3.6201
"532" "rs78740708" "11_11365479" "fwd" -0.302 3.5063
"533" "rs78740708" "11_11365479" "rev" -0.297 3.3958
"534" "rs78779914" "8_18923218" "fwd" -0.299 3.4293
"535" "rs78819957" "2_11957769" "fwd" -0.263 2.7421
"536" "rs7898060" "10_71079286" "rev" -0.292 3.2885
"537" "rs79175254" "4_83661613" "rev" 0.203 1.7668
"538" "rs79175254" "4_83661613" "fwd" 0.203 1.7668
"539" "rs79311068" "17_5801946" "fwd" -0.344 4.4459
"540" "rs79311068" "17_5801946" "rev" -0.337 4.2657
"541" "rs79339873" "7_7857622" "fwd" -0.311 3.6888
"542" "rs79376408" "11_11630216" "fwd" -0.336 4.2516
"543" "rs79516139" "11_56200776" "rev" -0.31 3.6596
"544" "rs79570638" "12_121043297" "fwd" 0.313 3.726
"545" "rs79570638" "12_121043297" "rev" 0.313 3.7285
"546" "rs79587374" "9_112221229" "rev" -0.251 2.5272
"547" "rs79720602" "13_20869770" "rev" -0.313 3.7319
"548" "rs79720602" "13_20869770" "rev" 0.362 4.8908
"549" "rs8003311" "14_55721274" "fwd" -0.147 1.0691
"550" "rs8003311" "14_55721274" "rev" -0.147 1.0691
"551" "rs80040510" "18_77245489" "fwd" 0.148 1.0781
"552" "rs80075573" "6_43924058" "rev" -0.282 3.0937
"553" "rs80081269" "2_151760925" "rev" -0.269 2.8528
"554" "rs80081269" "2_151760925" "fwd" -0.251 2.5333
"555" "rs80081269" "2_151760925" "rev" 0.266 2.7945
"556" "rs80097962" "5_141069700" "rev" 0.254 2.5767
"557" "rs80120736" "7_28134281" "fwd" 0.148 1.0812
"558" "rs80120736" "7_28134281" "rev" 0.148 1.0812
"559" "rs80176928" "15_57951886" "fwd" 0.294 3.3281
"560" "rs80223023" "14_59450602" "rev" -0.319 3.8568
"561" "rs80223023" "14_59450602" "rev" -0.274 2.9482
"562" "rs80223023" "14_59450602" "fwd" -0.249 2.4851
"563" "rs80223023" "14_59450602" "fwd" -0.249 2.4973
"564" "rs80328273" "10_92884887" "fwd" 0.226 2.1148
"565" "rs808933" "3_10528910" "rev" 0.32 3.8749
"566" "rs808933" "3_10528910" "rev" 0.269 2.8416
"567" "rs808933" "3_10528910" "fwd" 0.281 3.0738
"568" "rs808933" "3_10528910" "fwd" 0.259 2.6645
"569" "rs883785" "9_96282123" "fwd" -0.228 2.1525
"570" "rs883785" "9_96282123" "fwd" 0.228 2.1525
"571" "rs911059" "20_61899887" "rev" 0.207 1.8287
"572" "rs9607388" "22_37256351" "fwd" -0.289 3.2278
"573" "rs9607388" "22_37256351" "fwd" -0.269 2.8519
